Name,Year_of_Release,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,is_multiplatform
Wii Sports,2006,Wii,Sports,Nintendo,Nintendo,41.36,28.96,3.77,8.45,82.53,False
Grand Theft Auto V,2013,"PC, PS3, PS4, X360, XOne",Action,Take-Two Interactive,Rockstar North,23.84,23.42,1.42,7.8999999999999995,56.57000000000001,True
Super Mario Bros.,1985,NES,Platform,Nintendo,,29.08,3.58,6.81,0.77,40.24,False
Tetris,1988,"GB, NES",Puzzle,Nintendo,,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84,True
Mario Kart Wii,2008,Wii,Racing,Nintendo,Nintendo,15.68,12.76,3.79,3.29,35.52,False
Wii Sports Resort,2009,Wii,Sports,Nintendo,Nintendo,15.61,10.93,3.28,2.95,32.77,False
Pokemon Red/Pokemon Blue,1996,GB,Role-Playing,Nintendo,,11.27,8.89,10.22,1.0,31.37,False
Call of Duty: Modern Warfare 3,2011,"PC, PS3, Wii, X360",Shooter,Activision,"Infinity Ward, Sledgehammer Games",15.54,11.15,0.62,3.29,30.59,True
New Super Mario Bros.,2006,DS,Platform,Nintendo,Nintendo,11.28,9.14,6.5,2.88,29.8,False
Call of Duty: Black Ops II,2012,"PC, PS3, WiiU, X360",Shooter,Activision,Treyarch,14.08,10.84,0.72,3.76,29.400000000000002,True
Call of Duty: Black Ops,2010,"DS, PS3, Wii, X360",Shooter,Activision,Treyarch,16.99,8.54,0.59,3.08,29.19,True
Wii Play,2006,Wii,Misc,Nintendo,Nintendo,13.96,9.18,2.93,2.84,28.92,False
New Super Mario Bros. Wii,2009,Wii,Platform,Nintendo,Nintendo,14.44,6.94,4.7,2.24,28.32,False
Duck Hunt,1984,NES,Shooter,Nintendo,,26.93,0.63,0.28,0.47,28.31,False
Call of Duty: Ghosts,2013,"PC, PS3, PS4, WiiU, X360, XOne",Shooter,Activision,Infinity Ward,14.94,8.889999999999999,0.48,3.0799999999999996,27.4,True
Call of Duty: Black Ops 3,2015,"PC, PS3, PS4, X360, XOne",Shooter,Activision,,12.250000000000002,9.49,0.44,3.49,25.680000000000003,True
Call of Duty: Modern Warfare 2,2009,"PC, PS3, X360",Shooter,Activision,Infinity Ward,13.52,8.02,0.46,2.9699999999999998,24.95,True
Nintendogs,2005,DS,Simulation,Nintendo,,9.05,10.95,1.93,2.74,24.67,False
Minecraft,2013,"PS3, PS4, PSV, WiiU, X360, XOne",Misc,Microsoft Game Studios,,11.28,8.75,1.24,2.8900000000000006,24.159999999999997,True
Grand Theft Auto: San Andreas,2004,"PC, PS2, X360, XB",Action,Take-Two Interactive,Rockstar North,10.77,1.96,0.41,10.709999999999999,23.839999999999996,True
Mario Kart DS,2005,DS,Racing,Nintendo,Nintendo,9.71,7.47,4.13,1.9,23.21,False
Pokemon Gold/Pokemon Silver,1999,GB,Role-Playing,Nintendo,,9.0,6.18,7.2,0.71,23.1,False
Wii Fit,2007,Wii,Sports,Nintendo,Nintendo,8.92,8.03,3.6,2.15,22.7,False
Grand Theft Auto IV,2008,"PC, PS3, X360",Action,Take-Two Interactive,Rockstar North,11.53,7.55,0.5800000000000001,2.71,22.389999999999997,True
Call of Duty: Advanced Warfare,2014,"PC, PS3, PS4, X360, XOne",Shooter,Activision,Sledgehammer Games,10.51,8.3,0.34,2.82,21.99,True
Kinect Adventures!,2010,X360,Misc,Microsoft Game Studios,Good Science Studio,15.0,4.89,0.24,1.69,21.81,False
Wii Fit Plus,2009,Wii,Sports,Nintendo,Nintendo,9.01,8.49,2.53,1.77,21.79,False
The Elder Scrolls V: Skyrim,2011,"PC, PS3, PS4, X360, XOne",Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.65,8.370000000000001,0.38999999999999996,2.73,21.149999999999995,True
Super Mario World,1990,SNES,Platform,Nintendo,,12.78,3.75,3.54,0.55,20.61,False
Brain Age: Train Your Brain in Minutes a Day,2005,DS,Misc,Nintendo,Nintendo,4.74,9.2,4.16,2.04,20.15,False
Pokemon Diamond/Pokemon Pearl,2006,DS,Role-Playing,Nintendo,,6.38,4.46,6.04,1.36,18.25,False
Call of Duty 4: Modern Warfare,2007,"DS, PC, PS3, X360",Shooter,Activision,Infinity Ward,9.989999999999998,5.749999999999999,0.42000000000000004,2.04,18.19,True
Super Mario Land,1989,GB,Platform,Nintendo,,10.83,2.71,4.18,0.42,18.14,False
FIFA 15,2014,"3DS, PC, PS3, PS4, PSV, Wii, X360, XOne",Sports,Electronic Arts,EA Sports,3.09,12.02,0.14,2.12,17.34,True
Super Mario Bros. 3,1988,NES,Platform,Nintendo,,9.54,3.44,3.84,0.46,17.28,False
Battlefield 3,2011,"PC, PS3, X360",Shooter,Electronic Arts,EA DICE,8.200000000000001,6.43,0.41,2.23,17.27,True
FIFA 14,2013,"3DS, PC, PS3, PS4, PSP, PSV, Wii, X360, XOne",Sports,Electronic Arts,EA Canada,2.81,10.96,0.2,2.4899999999999998,16.48,True
Guitar Hero III: Legends of Rock,2007,"PC, PS2, PS3, Wii, X360",Misc,Activision,Neversoft Entertainment,11.14,2.5600000000000005,0.04,2.63,16.37,True
FIFA 16,2015,"PC, PS3, PS4, X360, XOne",Sports,Electronic Arts,EA Sports,3.0500000000000003,11.090000000000002,0.11,2.05,16.3,True
Grand Theft Auto: Vice City,2002,"PC, PS2",Action,Take-Two Interactive,Rockstar North,8.41,5.5200000000000005,0.47,1.79,16.189999999999998,True
FIFA Soccer 13,2012,"3DS, PC, PS3, PSP, PSV, Wii, WiiU, X360",Action,Electronic Arts,Electronic Arts,2.6300000000000003,10.160000000000002,0.23,2.9499999999999997,15.96,True
Pokemon Ruby/Pokemon Sapphire,2002,GBA,Role-Playing,Nintendo,,6.06,3.9,5.38,0.5,15.85,False
Call of Duty: World at War,2008,"DS, PC, PS3, Wii, X360",Shooter,Activision,Treyarch,9.29,4.68,0.0,1.81,15.78,True
Brain Age 2: More Training in Minutes a Day,2005,DS,Puzzle,Nintendo,Nintendo,3.43,5.35,5.32,1.18,15.29,False
LEGO Star Wars: The Complete Saga,2007,"DS, PS3, Wii, X360",Action,LucasArts,Traveller's Tales,8.950000000000001,4.74,0.0,1.56,15.259999999999998,True
Pokemon Black/Pokemon White,2010,DS,Role-Playing,Nintendo,,5.51,3.17,5.65,0.8,15.14,False
Gran Turismo 3: A-Spec,2001,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,1.16,14.98,False
Pokémon Yellow: Special Pikachu Edition,1998,GB,Role-Playing,Nintendo,,5.89,5.04,3.12,0.59,14.64,False
Pokemon X/Pokemon Y,2013,3DS,Role-Playing,Nintendo,,5.28,4.19,4.35,0.78,14.6,False
Battlefield 4,2013,"PC, PS3, PS4, X360, XOne",Shooter,Electronic Arts,EA DICE,6.44,5.43,0.4600000000000001,1.61,13.93,True
Grand Theft Auto III,2001,"PC, PS2",Action,Take-Two Interactive,DMA Design,6.99,4.52,0.3,1.3,13.11,True
Mario & Sonic at the Olympic Games,2007,"DS, Wii",Sports,Sega,,4.199999999999999,6.3100000000000005,1.1,1.48,13.08,True
FIFA 12,2011,"3DS, PC, PS2, PS3, PSP, Wii, X360",Sports,Electronic Arts,,2.07,8.44,0.15,2.3699999999999997,13.06,True
Assassin's Creed III,2012,"PC, PS3, WiiU, X360",Action,Ubisoft,Ubisoft,6.24,4.87,0.19,1.7100000000000002,13.02,True
Assassin's Creed IV: Black Flag,2013,"PC, PS3, PS4, WiiU, X360, XOne",Action,Ubisoft,Ubisoft,6.169999999999999,5.119999999999999,0.2,1.5699999999999998,13.02,True
Super Smash Bros. Brawl,2008,Wii,Fighting,Nintendo,Game Arts,6.62,2.55,2.66,1.01,12.84,False
Red Dead Redemption,2010,"PS3, X360",Action,Take-Two Interactive,Rockstar San Diego,6.49,4.4799999999999995,0.26,1.5699999999999998,12.81,True
Just Dance 3,2011,"PS3, Wii, X360",Misc,Ubisoft,Ubisoft,7.75,3.7,0.0,1.31,12.759999999999998,True
Fallout 4,2015,"PC, PS4, XOne",Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.549999999999999,5.26,0.25,1.6099999999999999,12.669999999999998,True
Mario Kart 7,2011,3DS,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",5.03,4.02,2.69,0.91,12.66,False
Destiny,2014,"PS3, PS4, X360, XOne",Shooter,Activision,Bungie,6.620000000000001,3.98,0.28,1.66,12.55,True
FIFA Soccer 11,2010,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,Electronic Arts,EA Sports,1.9499999999999997,7.969999999999999,0.09,2.48,12.499999999999998,True
Super Smash Bros. for Wii U and 3DS,2014,"3DS, WiiU",Fighting,Nintendo,,5.87,2.45,3.24,0.86,12.42,True
Star Wars Battlefront (2015),2015,"PC, PS4, XOne",Shooter,Electronic Arts,,5.16,5.15,0.24,1.6400000000000001,12.190000000000001,True
Animal Crossing: Wild World,2005,DS,Simulation,Nintendo,Nintendo,2.5,3.45,5.33,0.86,12.13,False
Halo 3,2007,X360,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",7.97,2.81,0.13,1.21,12.12,False
LEGO Indiana Jones: The Original Adventures,2008,"DS, PC, PS2, PS3, PSP, Wii, X360",Action,LucasArts,Traveller's Tales,6.7700000000000005,3.1399999999999997,0.0,1.99,11.91,True
Super Mario 64,1996,N64,Platform,Nintendo,,6.91,2.85,1.91,0.23,11.89,False
Pokemon HeartGold/Pokemon SoulSilver,2009,DS,Action,Nintendo,,4.34,2.71,3.96,0.76,11.77,False
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,3DS,Role-Playing,Nintendo,,4.35,3.49,3.1,0.74,11.68,False
Gran Turismo 4,2004,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,7.53,11.66,False
FIFA 17,2016,"PC, PS3, PS4, X360, XOne",Sports,Electronic Arts,"EA Sports, EA Vancouver",1.2100000000000002,8.739999999999998,0.11,1.4200000000000002,11.47,True
Assassin's Creed II,2009,"PC, PS3, X360",Action,Ubisoft,Ubisoft Montreal,5.66,3.93,0.29,1.4600000000000002,11.36,True
Super Mario Galaxy,2007,Wii,Platform,Nintendo,Nintendo,6.06,3.35,1.2,0.74,11.35,False
Assassin's Creed,2007,"PC, PS3, X360",Adventure,Ubisoft,Ubisoft Montreal,5.199999999999999,4.47,0.16,1.45,11.27,True
Super Mario Land 2: 6 Golden Coins,1992,GB,Adventure,Nintendo,,6.16,2.04,2.69,0.29,11.18,False
Batman: Arkham City,2011,"PC, PS3, WiiU, X360",Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,6.0200000000000005,3.5800000000000005,0.15,1.35,11.1,True
Gran Turismo,1997,PS,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,False
Diablo III,2012,"PC, PS3, PS4, X360, XOne",Role-Playing,Activision,Blizzard Entertainment,4.930000000000001,4.5200000000000005,0.21,1.29,10.94,True
Need for Speed Underground 2,2004,"GBA, GC, PC, PS2, XB",Racing,Electronic Arts,EA Canada,5.1,4.39,0.09,1.2400000000000002,10.82,True
